CLASS,VALUE
M           ,60900
M           ,89250.12
F         ,145664.52
F         ,76000.08
F         ,117000
F         ,111999.96
F         ,192523.08
F         ,55083.6
M           ,112785
F         ,40037.16
M           ,110880
F         ,62851.92
F         ,42540
F         ,42631.68
M           ,42000
M           ,80004
F         ,58008.36
F         ,84000
F         ,37080
F         ,39060
M           ,112800
F         ,42000
F         ,46300.08
F         ,50400
F         ,71700
F         ,175000.08
F         ,145008
M           ,75600
F         ,66126
F         ,46500
F         ,69000
M           ,69600
M           ,90300
F         ,49400.04
F         ,40200
F         ,38400
F         ,96384
M           ,98100
F         ,50232
F         ,77868
F         ,40980
M           ,41400
F         ,39300
F         ,94999.92
M           ,46620
M           ,96720
F         ,39900
F         ,44496
M           ,79000.08
F         ,75300
F         ,46400.04
F         ,73788
M           ,90000
F         ,39900
F         ,52800
F         ,61800
M           ,37200
F         ,46200
F         ,50000.04
F         ,54600
M           ,85284
F         ,38400
F         ,75300
F         ,102000
M           ,105000
M           ,45000
F         ,37200
F         ,96390
F         ,39060
F         ,43860
F         ,61800
F         ,59940
F         ,43500
F         ,52200
F         ,81600
F         ,65400
F         ,55620
F         ,38400
M           ,37200
F         ,37200
F         ,55500
F         ,61015.2
M           ,58272
F         ,42000
F         ,37200
M           ,80100
F         ,48060
F         ,45600
F         ,39360
M           ,36000
M           ,75600
F         ,40980
F         ,40500
F         ,31512
F         ,38400
F         ,68352
F         ,42000
F         ,93240
M           ,50400
F         ,37980
F         ,38400
F         ,61416
M           ,88620
M           ,76860
M           ,108000
F         ,57000
M           ,122000.04
M           ,97650
F         ,77700
F         ,41400
F         ,40980
F         ,64272
M           ,75600
M           ,81600
F         ,41568
F         ,96384
M           ,38400
M           ,124800
F         ,59580
M           ,93038.4
F         ,44100
F         ,58425
F         ,39243
M           ,95400
M           ,41400
F         ,59220
F         ,97500
M           ,56000.04
F         ,41400
F         ,130000.08
M           ,62100
F         ,65805
M           ,144000
F         ,58524
F         ,39300
F         ,63000
M           ,78900
F         ,39060
M           ,37200
F         ,55200
F         ,47274
F         ,89400
F         ,87600
F         ,41400
F         ,42000
M           ,113400
F         ,61800
F         ,99000
F         ,135000
F         ,39060
F         ,39600
F         ,39804
F         ,84000
F         ,69089.28
M           ,83203.8
F         ,81322.56
F         ,58772.16
F         ,61983
M           ,78250.08
F         ,76000.08
M           ,45460.32
F         ,72172.08
M           ,117384
F         ,58487.4
F         ,74046.6
F         ,47257.2
F         ,30174.96
M           ,102639
M           ,84000
M           ,56870.04
F         ,46125
F         ,51593.16
F         ,45000
M           ,53578.8
F         ,29439
F         ,45000
F         ,34392
F         ,79659.96
F         ,156497.52
M           ,54468
M           ,56501.64
M           ,72785.88
M           ,156452.88
M           ,83304
F         ,65000.04
F         ,84000.84
F         ,36000
F         ,45000
M           ,89442.6
F         ,40800
M           ,154036.8
F         ,75924
M           ,57672
F         ,39600
F         ,60378
F         ,63232.08
F         ,60000
F         ,33774.96
M           ,41804.64
F         ,68677.8
M           ,72363.12
M           ,68400
M           ,90733.8
M           ,59502.24
F         ,50249.64
M           ,57500.04
F         ,99779.88
F         ,62040
F         ,61000.08
M           ,49836
F         ,47000.04
F         ,31839
F         ,58800
M           ,126288.6
M           ,55500
M           ,86735.28
M           ,157887.6
F         ,50302.8
M           ,48600
F         ,72109.32
F         ,60101.88
F         ,71268.84
M           ,56870.04
M           ,47109.48
F         ,60800.04
F         ,51912
M           ,81677.52
F         ,72000
M           ,70800
M           ,41804.64
M           ,59632.68
M           ,55080
F         ,57000
F         ,150431.04
F         ,56501.64
M           ,53400
F         ,42709.56
F         ,54060
F         ,79716.96
M           ,157000.08
M           ,89958
M           ,72000
F         ,71673.36
M           ,68915.28
F         ,31839
F         ,76304.16
M           ,57000
M           ,56870.04
M           ,74448
M           ,84996
F         ,59425.68
F         ,79825.08
M           ,117255.6
F         ,117588.24
M           ,56870.04
F         ,49500
M           ,109477.08
F         ,53260.08
F         ,59972.04
F         ,71400
M           ,30174.96
F         ,60000
M           ,53828.04
F         ,52464
F         ,69216.72
F         ,60800.04
F         ,58000.08
F         ,69858.36
M           ,110420.04
F         ,95152.44
F         ,48000
F         ,116362.2
F         ,55000.08
F         ,67210.08
F         ,100190.76
M           ,101944.8
F         ,60543.48
M           ,74448
F         ,70000.08
F         ,118947.84
F         ,94380
M           ,57957.6
M           ,55544.52
F         ,40668
F         ,92316.36
M           ,72000
F         ,84939
M           ,73065.24
F         ,56450.04
F         ,58536.48
F         ,55000.08
F         ,67000.08
F         ,105985.08
M           ,59574.48
F         ,48600
M           ,88407
M           ,55000.08
F         ,39720
F         ,71988
F         ,77500.08
F         ,41804.64
F         ,73359.48
M           ,67200
F         ,51389.76
M           ,62040
M           ,146264.88
F         ,30174.96
M           ,56870.04
F         ,64134
M           ,69907.92
F         ,61618.08
M           ,65000.04
M           ,103262.04
F         ,57777.24
F         ,65278.44
M           ,116880
M           ,65608.2
F         ,74493.12
F         ,64165.56
F         ,69862.08
F         ,53508.72
M           ,48000
M           ,62730
F         ,109180.08
F         ,85000.08
M           ,44204.64
F         ,45000
F         ,136486.44
F         ,63104.04
F         ,65288.16
M           ,56870.04
M           ,96000
M           ,80076
F         ,80000.04
M           ,48460.32
M           ,55620
F         ,77929.44
F         ,98938.92
M           ,67161.36
M           ,119493.84
F         ,37411.44
F         ,63267.36
F         ,43200
M           ,66960
F         ,60000
M           ,71749.92
F         ,64260
M           ,56870.04
M           ,59000.04
F         ,100000.08
M           ,80000.04
F         ,36976.08
M           ,83635.92
F         ,41952
F         ,47778.72
F         ,55165.92
M           ,56870.04
M           ,85000.08
F         ,60000
F         ,37200
F         ,50500.08
F         ,64149.36
F         ,76011.36
F         ,50183.76
M           ,55000.08
M           ,61438.2
F         ,74585.52
M           ,83133.6
M           ,56870.04
F         ,60949.92
M           ,62640.36
M           ,86856
F         ,78201.6
F         ,105000
M           ,66220.32
M           ,50058.48
M           ,78098.04
F         ,84386.04
F         ,63945
F         ,52474.8
F         ,59540.28
M           ,126815.64
M           ,41804.64
F         ,49056
M           ,60770.04
F         ,65142
F         ,40260
M           ,73788
F         ,47674.8
F         ,56000.04
F         ,59155.92
M           ,80998.2
M           ,63945
M           ,55797.24
M           ,130000.08
F         ,41804.64
F         ,57949.32
M           ,62000.04
F         ,55596
F         ,47895
M           ,56501.64
F         ,73750.68
F         ,57081.72
M           ,116068.32
M           ,63240
F         ,69000
M           ,67437.84
F         ,113416.32
M           ,51152.04
M           ,62040
F         ,53000.04
F         ,86321.28
M           ,52113.6
F         ,69693
F         ,73947.48
M           ,82000.08
M           ,60339
F         ,77011.2
F         ,57672
M           ,56870.04
M           ,60672
F         ,98700.84
F         ,52474.8
F         ,65352.48
M           ,62500.08
M           ,46032
M           ,88437
F         ,71500.08
F         ,39600
F         ,64159.08
F         ,96627.36
F         ,71918.88
F         ,117255.6
F         ,84000.84
M           ,29439
F         ,30174.96
F         ,53889.6
F         ,64008
F         ,73260
F         ,82187.76
F         ,74140.56
F         ,92329.08
M           ,60000
M           ,192298.92
F         ,49664.04
M           ,41804.64
F         ,62040
F         ,30174.96
F         ,106056.36
M           ,47836.08
F         ,53000.04
M           ,70000.08
M           ,55500
M           ,140000.04
M           ,60000
F         ,125000.04
F         ,126729.96
F         ,54999.96
M           ,80000.04
F         ,80000.04
F         ,50000.04
M           ,50000.04
F         ,50000.04
M           ,50000.04
F         ,62000.04
M           ,98000.04
F         ,40000.08
M           ,117499.92
F         ,40000.08
F         ,47900.04
M           ,65000.04
M           ,93500.04
M           ,63300
M           ,58088.16
F         ,42500.04
F         ,51031.68
F         ,54999.96
M           ,105000
F         ,57000
M           ,36000
F         ,114999.96
F         ,97100.04
M           ,69000
M           ,121644
F         ,42000
F         ,74300.04
F         ,60000
F         ,32517
F         ,43089.96
F         ,139096.92
F         ,45999.96
F         ,36000
F         ,47775
F         ,41000.04
F         ,55184.04
M           ,65000.04
M           ,93060
M           ,69000
M           ,37999.92
M           ,47299.92
F         ,100646.88
F         ,86208.72
F         ,59014.2
F         ,100644
M           ,100646.88
F         ,44000.04
F         ,125000.04
F         ,91020
F         ,100644
F         ,86208.72
F         ,40000.08
M           ,91020
M           ,128000.04
M           ,70008
F         ,34703.28
F         ,55000.08
F         ,100646.88
F         ,100646.88
F         ,44000.04
F         ,128000.04
M           ,91914.96
F         ,140000.04
F         ,44000.04
M           ,128000.04
F         ,59014.2
F         ,86208.72
F         ,52000.08
F         ,54195
M           ,99999.96
M           ,40000.08
M           ,100646.88
F         ,86208.72
F         ,44000.04
F         ,86208.72
M           ,50000.04
M           ,84000
F         ,87999.96
F         ,77239.44
M           ,86208.72
F         ,54000
M           ,77239.44
F         ,77239.44
M           ,68397.12
M           ,117696
F         ,44000.04
F         ,86208.72
F         ,40000.08
F         ,50967.96
F         ,44000.04
F         ,100644
M           ,140000.04
F         ,44000.04
M           ,100644
M           ,42000
M           ,44000.04
F         ,50000.04
F         ,100644
F         ,100646.88
M           ,93600
M           ,180000
M           ,128000.04
F         ,44000.04
F         ,93000
M           ,100644
M           ,42000
F         ,83298
F         ,64000.08
F         ,76000.08
F         ,100644
M           ,112625.04
F         ,44000.04
M           ,42000
M           ,93000
F         ,44000.04
F         ,117696
F         ,130008
M           ,68397.12
F         ,132000
F         ,100644
F         ,64625.16
F         ,44000.04
F         ,93000
M           ,103646.88
M           ,47600.04
F         ,44000.04
F         ,44000.04
F         ,77239.44
F         ,54195
F         ,128000.04
F         ,103646.88
M           ,100646.88
M           ,136986.36
F         ,128000.04
M           ,100644
F         ,112625.04
F         ,86208.72
F         ,36000
F         ,40000.08
F         ,112625.04
F         ,50000.04
F         ,44000.04
F         ,128000.04
F         ,117696
F         ,36000
F         ,63000
F         ,100644
F         ,86208.72
M           ,100646.88
F         ,67026.72
M           ,72200.76
F         ,53486.76
F         ,69540.48
F         ,55361.4
F         ,73337.16
F         ,45789.36
M           ,75000
F         ,68310.12
M           ,57778.56
F         ,40753.2
F         ,42973.2
M           ,56430
M           ,89574.84
F         ,71165.76
M           ,75000
M           ,224929.68
M           ,70659.72
F         ,77746.08
F         ,109961.52
F         ,72808.32
F         ,52497.36
F         ,56021.16
F         ,91252.44
M           ,47159.52
M           ,100192.68
F         ,68861.28
F         ,57127.2
F         ,70055.64
F         ,79227.72
F         ,100000.08
M           ,100478.88
F         ,54126.48
M           ,142051.92
F         ,80527.2
F         ,40810.8
F         ,62416.68
F         ,74834.64
M           ,39521.04
F         ,50537.04
F         ,42244.08
F         ,83298
F         ,43680
F         ,39760.32
F         ,43085.52
F         ,50798.52
M           ,57892.68
M           ,45361.68
F         ,78952.92
F         ,76188
F         ,110660.76
M           ,49800
M           ,38500.08
M           ,55184.04
M           ,43828.2
M           ,34000.08
F         ,65005.56
F         ,40087.08
F         ,84345.72
F         ,60985.56
F         ,89427
M           ,38863.68
F         ,36975.96
F         ,38270.28
F         ,36976.08
F         ,78952.92
F         ,103491
M           ,100205.64
F         ,127532.64
F         ,93574.32
F         ,47310
M           ,228774.96
M           ,108597.24
F         ,84473.64
M           ,39521.04
F         ,53786.28
F         ,148543.68
M           ,58373.28
M           ,64713.96
M           ,49077.6
F         ,79452.72
F         ,90032.04
F         ,67059.24
M           ,40805.52
F         ,34449.12
F         ,88400.04
M           ,94961.88
M           ,96720
M           ,213343.92
F         ,86206.32
F         ,63825.12
F         ,66459.24
M           ,58398.96
F         ,55503
F         ,68175.6
F         ,52354.32
M           ,125000.04
F         ,45375
M           ,93927.72
M           ,70642.08
F         ,60759
M           ,64262.64
M           ,39996
F         ,54372.72
F         ,67937.04
F         ,101363.16
M           ,70716.36
M           ,77986.44
F         ,76824.6
F         ,39000
F         ,137000.04
F         ,34614.84
F         ,77037.12
M           ,69704.76
M           ,49863.84
M           ,130971.24
M           ,81716.28
F         ,39666.36
F         ,149464.44
F         ,34133.4
M           ,82090.92
M           ,96317.28
M           ,45000
M           ,39521.04
M           ,53664
M           ,68657.76
M           ,92843.76
F         ,41400
F         ,34118.64
F         ,52552.8
F         ,93600
F         ,46800
F         ,53897.64
M           ,43470
M           ,129782.64
M           ,85800
M           ,51143.76
M           ,84162.6
M           ,117333
F         ,42235.44
M           ,68959.92
F         ,42300
M           ,85207.92
F         ,55677.48
M           ,50045.64
F         ,87268.32
M           ,67125
M           ,59288.16
F         ,85765.68
F         ,80079.96
F         ,75572.4
F         ,42244.08
F         ,39521.04
F         ,73183.56
F         ,49606.2
F         ,48836.28
F         ,69879
F         ,78952.92
M           ,45158.04
M           ,187425
F         ,60834.96
F         ,40805.52
M           ,57886.44
M           ,52610.88
F         ,114285.48
M           ,45694.2
F         ,47837.76
M           ,71984.16
F         ,57680.04
F         ,56649.48
M           ,70693.68
F         ,87796.8
M           ,118082.76
M           ,36976.08
F         ,63664.8
M           ,138788.4
F         ,78952.92
F         ,69540.48
F         ,51935.64
F         ,41101.92
F         ,72884.04
F         ,71152.56
F         ,39521.04
M           ,44220.36
F         ,52277.04
F         ,54677.16
F         ,56291.76
F         ,124243.44
M           ,78948.72
M           ,78338.4
M           ,64447.08
F         ,228774.96
M           ,41216.64
F         ,72690.36
F         ,94555.2
M           ,101819.16
M           ,38040
M           ,53100
F         ,148533.12
M           ,38233.32
F         ,58757.52
F         ,55302
F         ,37500
F         ,85176
M           ,47166.6
F         ,42244.08
M           ,39521.04
F         ,56053.68
M           ,179130.24
F         ,67026.96
F         ,75701.52
F         ,33843.96
M           ,53100
F         ,57157.68
F         ,36934.68
M           ,84999.96
M           ,77459.16
F         ,64371.6
F         ,55479.48
M           ,74818.92
M           ,59490.72
M           ,63500.04
M           ,73720.56
F         ,90393
M           ,63616.08
F         ,78000
F         ,44562.96
M           ,33000
F         ,58169.76
M           ,99350.28
M           ,67000.08
M           ,46188
M           ,42849
F         ,88266.12
M           ,49357.08
F         ,55235.28
F         ,75176.52
M           ,42911.04
F         ,39164.28
M           ,72655.8
M           ,41917.56
F         ,46818.84
F         ,76676.04
M           ,121388.16
F         ,151284.12
F         ,115665.6
F         ,62687.76
M           ,45022.56
M           ,70710.12
F         ,103491
F         ,146232.36
F         ,54358.56
F         ,45158.04
M           ,180462.6
M           ,54126.72
F         ,156255.96
F         ,56343
F         ,63500.04
F         ,37020
M           ,131901.48
M           ,61531.32
M           ,116812.8
F         ,123127.92
M           ,84403.08
M           ,118184.16
M           ,42300
F         ,115385.76
F         ,36976.08
F         ,52199.4
F         ,54078.36
M           ,43722.6
M           ,49200
F         ,51507.84
F         ,42244.08
M           ,98677.56
F         ,81918.12
F         ,57032.4
M           ,116812.8
F         ,88759.08
F         ,56787.6
M           ,84000
F         ,75567
F         ,67422.84
F         ,113957.52
F         ,96096
F         ,52800
M           ,47400
M           ,51504
M           ,34200
F         ,51504
M           ,71028
F         ,67200
M           ,38499.96
M           ,75000
M           ,56400
M           ,33600
M           ,40800
M           ,85200
M           ,46267.56
M           ,67200
M           ,33999.96
M           ,57600
F         ,18429.36
M           ,52704.24
M           ,60499.92
M           ,47821.2
F         ,46687.56
F         ,63000
M           ,55596
M           ,48000
F         ,56400
M           ,84000
M           ,55314.36
M           ,78000
M           ,34200
M           ,45000
M           ,52800
M           ,43050
M           ,37446.84
F         ,50400
M           ,65236.44
F         ,52800
F         ,84000
M           ,34200
M           ,48840
M           ,71664.96
M           ,60600
F         ,33999.96
M           ,44772
M           ,47133.24
F         ,62040
M           ,33999.96
F         ,33825
M           ,95107.68
M           ,57780
M           ,50051.28
M           ,34992
F         ,48992.04
M           ,52514.76
F         ,42654.24
F         ,55200
M           ,61680
M           ,41355
M           ,65400
M           ,57650.76
M           ,147000
F         ,75800.76
F         ,62149.32
F         ,67465.92
F         ,88200
M           ,48900
M           ,67684.44
F         ,50400
M           ,47187
F         ,67200
M           ,66110.16
F         ,37914
M           ,37200
M           ,59616
M           ,45000
M           ,68400
M           ,70000.08
F         ,51300
M           ,34849.92
F         ,50340
M           ,50400
M           ,32652
F         ,51504
F         ,67200
F         ,60499.92
F         ,63606.48
M           ,33600
M           ,49921.2
F         ,45999.96
M           ,158220
M           ,55596
M           ,44100
F         ,51600
M           ,103008
M           ,63340.2
M           ,38816.88
M           ,54000
M           ,61318.92
M           ,43050
M           ,54647.64
M           ,39631.68
M           ,51504
F         ,51504
M           ,67279.2
M           ,39916.8
M           ,50992.44
M           ,45000
M           ,35336.64
M           ,49500
F         ,30000
F         ,54549
F         ,63275.52
M           ,90000
M           ,36581.76
F         ,51504
M           ,34333.2
M           ,46161.48
M           ,43197.6
F         ,84835.32
M           ,56920.92
M           ,82032
M           ,49494.96
M           ,62402.4
M           ,80400
F         ,58966.44
M           ,68670
F         ,49411.32
M           ,49469.88
M           ,46999.92
F         ,47965.08
M           ,48155.64
M           ,33372
F         ,49440
M           ,120000
M           ,60000
M           ,63615.96
M           ,45636.96
F         ,50340
F         ,54000
M           ,36518.88
M           ,47215.2
M           ,55516.56
F         ,33999.96
M           ,53556.6
M           ,45599.28
M           ,30000
F         ,54999.96
F         ,66145.44
M           ,43050
M           ,54716.64
F         ,70221.12
M           ,64800
M           ,93434.16
F         ,103008
M           ,50830.68
F         ,163829.04
M           ,96618.24
F         ,40200
M           ,34200
M           ,77772
M           ,98405.88
M           ,42000
M           ,64825.92
M           ,49110.72
M           ,33518.16
M           ,52704.24
F         ,45855.6
M           ,33999.96
F         ,33999.96
F         ,48000
M           ,48470.04
M           ,42028.2
M           ,53061.48
M           ,48085.8
M           ,38400
M           ,99225
M           ,34800
F         ,65631.24
M           ,51600
F         ,65088
F         ,42000
M           ,40256.64
M           ,52212.24
M           ,83940.12
F         ,73955.52
F         ,69600
M           ,34200
M           ,45600
M           ,34200
M           ,74778.24
F         ,60903.12
F         ,46999.92
F         ,30000
F         ,30000
F         ,33600
M           ,48456
M           ,38520
F         ,33999.96
F         ,57722.04
F         ,71150.28
M           ,69000
M           ,63630
M           ,53499.96
M           ,17981.04
M           ,57600
M           ,51227.28
M           ,75600
F         ,105000
M           ,50305.2
M           ,49200
M           ,33999.96
M           ,32652
F         ,51504
F         ,51504
F         ,60547.56
F         ,60000
M           ,70498.92
M           ,48000
F         ,57703.44
M           ,47215.2
F         ,84000
F         ,51504
M           ,47479.92
F         ,41100
M           ,37200
M           ,42345.24
M           ,54999.96
M           ,58844.04
F         ,61961.76
F         ,60000
M           ,46999.92
M           ,39600
M           ,63000
M           ,109512
F         ,80256
M           ,34200
M           ,36000
F         ,62400
M           ,38400
F         ,48000
M           ,63300
M           ,49233.48
M           ,53606.28
F         ,64800
M           ,36023.64
F         ,35756.04
F         ,45600
F         ,51504
M           ,43200
M           ,67601.76
F         ,63000
M           ,60000
F         ,67200
F         ,51600
M           ,32652
F         ,59535
M           ,49287.96
F         ,33825
M           ,50400
M           ,84000
F         ,50400
F         ,71400
F         ,62849.52
F         ,33825
M           ,73500
F         ,37515
M           ,57144
F         ,37639.92
M           ,62329.68
F         ,43200
F         ,48000
F         ,43168.8
F         ,50400
M           ,60000
M           ,33971.16
M           ,59472
M           ,35280
M           ,66728.4
M           ,38745
M           ,33612
M           ,72705.6
M           ,34200
M           ,76860
F         ,76471.2
F         ,33999.96
F         ,51504
M           ,39999.96
F         ,60000
M           ,60600
F         ,50846.4
M           ,34200
M           ,60000
M           ,125004
F         ,39000
M           ,48071.28
F         ,51528
M           ,51504
M           ,54700.32
M           ,44756.64
M           ,32669.76
F         ,50400
M           ,51562.44
M           ,70960.56
M           ,37200
M           ,49200
M           ,36000
M           ,83953.32
M           ,44772
M           ,52355.88
M           ,34200
M           ,36600
M           ,82999.92
M           ,47400
F         ,51504
M           ,50009.04
M           ,33600
F         ,66000
F         ,69600
M           ,51360
M           ,42000
M           ,33600
M           ,75000
M           ,58398.96
M           ,64800
M           ,42360
M           ,48260.76
M           ,45990.24
M           ,37166.4
M           ,69999.96
F         ,78000
M           ,32652
M           ,34200
M           ,33999.96
M           ,57086.4
M           ,34858.92
M           ,72600
M           ,33999.96
M           ,43200
F         ,69300
M           ,69960
M           ,40240.2
M           ,65076
F         ,75265.08
M           ,54254.16
M           ,68957.88
M           ,56496
M           ,47517
M           ,34200
F         ,43428
M           ,33843.96
M           ,44400
M           ,34200
M           ,33600
F         ,48000
M           ,42476.64
F         ,60000
M           ,34200
M           ,35449.32
F         ,191356.92
M           ,50922
M           ,47378.4
M           ,89967.36
F         ,57076.8
M           ,39999.96
M           ,41355
M           ,51390
F         ,66792
M           ,62029.56
M           ,44100
M           ,64288.32
M           ,89967.36
M           ,51014.76
M           ,33600
F         ,68641.2
F         ,30000
M           ,34200
F         ,39600
F         ,69413.76
M           ,37231.68
M           ,53550
F         ,67200
F         ,30000
F         ,59472
M           ,71392.8
M           ,45000
M           ,69036.72
M           ,55545.84
M           ,49060.68
M           ,36000
F         ,47710.92
M           ,34358.76
M           ,45600
F         ,39999.96
M           ,35344.08
M           ,33999.96
M           ,78000
M           ,51000
F         ,33825
M           ,71103.96
M           ,34200
M           ,71688
F         ,50400
M           ,38743.2
M           ,40800
F         ,39576
F         ,60499.92
F         ,33825
F         ,51504
F         ,33858.96
M           ,38400
M           ,68487.72
M           ,92487.48
M           ,51300
M           ,34200
F         ,48000
M           ,52704.24
F         ,47064
M           ,50814
M           ,55892.4
F         ,69600
M           ,37069.08
M           ,59472
F         ,42000
M           ,43050
M           ,50400
M           ,51567.48
F         ,48000
F         ,68640
F         ,84004.2
F         ,57780
M           ,42799.32
M           ,33999.96
M           ,78000
M           ,48092.76
M           ,78888.84
M           ,41553.24
M           ,40800
F         ,34200
F         ,58200
M           ,47960.88
F         ,30000
M           ,57510
M           ,55129.92
M           ,65574.72
M           ,52044.96
M           ,46301.04
M           ,46968
M           ,81600
M           ,38558.28
F         ,51504
M           ,41560.56
F         ,78000
F         ,72000
M           ,43050
M           ,62400
M           ,51000
M           ,75000
F         ,47217.48
M           ,63000
M           ,56400
F         ,50400
M           ,78000
M           ,72379.92
F         ,51504
M           ,49683.6
F         ,64500
F         ,48320.52
F         ,51504
F         ,75000
M           ,42096
M           ,68307.12
M           ,66244.08
M           ,38134.8
M           ,87000
F         ,54000
M           ,63615.96
F         ,51504
M           ,34800
M           ,34200
F         ,78840
M           ,46693.32
F         ,33999.96
M           ,38700
F         ,61202.28
M           ,71400
M           ,54503.76
M           ,38400
M           ,53814.48
M           ,50965.44
M           ,62730
M           ,96720
M           ,101400
M           ,59472
M           ,69302.76
M           ,136752
M           ,78376.08
M           ,77040
M           ,63916.68
M           ,80971.68
M           ,41355
M           ,46800
M           ,42000
M           ,33999.96
M           ,42581.04
F         ,149000.04
M           ,43050
F         ,51504
F         ,73200
M           ,44517.6
M           ,44556.72
M           ,67747.92
M           ,60881.4
M           ,35161.68
M           ,51504
F         ,31611
M           ,55596
F         ,67200
F         ,96720
M           ,32652
M           ,65400
F         ,33999.96
M           ,82800
M           ,34200
M           ,47591.28
M           ,60000
M           ,32637.96
F         ,33999.96
M           ,77040
F         ,51504
M           ,49463.64
M           ,45360
M           ,62430.96
F         ,87000
M           ,38400
M           ,55596
M           ,71238.36
M           ,40454.04
F         ,88500
M           ,53400
M           ,43050
M           ,61080
M           ,37201.32
M           ,88258.92
M           ,42292.56
M           ,70452
M           ,64589.16
M           ,67262.4
M           ,40800
M           ,34200
F         ,33825
M           ,33999.96
M           ,58397.4
M           ,40574.76
F         ,57446.28
M           ,62406.72
M           ,40800
M           ,42480
F         ,60000
M           ,33000
F         ,40800
M           ,52044.96
M           ,46095.6
F         ,36000
M           ,74232
M           ,35814.84
M           ,41251.56
M           ,48606
M           ,44388
M           ,49188
M           ,42000
M           ,53424
M           ,68670.12
F         ,57000
F         ,71400
F         ,54000
F         ,48000
M           ,42000
M           ,46800
M           ,55200
M           ,42000
M           ,42000
F         ,42000
M           ,45600
M           ,42000
F         ,49200
F         ,42000
F         ,44400
F         ,75600
M           ,78000
M           ,42000
F         ,57000
F         ,48000
M           ,56784
F         ,50400
M           ,57837
M           ,43800
M           ,62040
F         ,42000
F         ,54000
F         ,45000
M           ,44400
F         ,42000
M           ,42000
M           ,46788
F         ,42000
M           ,42000
M           ,84000
M           ,42000
F         ,44280
M           ,50400
F         ,48500.04
M           ,54000
M           ,42000
M           ,78500.04
M           ,90000
F         ,46800
M           ,45600
M           ,53424
M           ,46800
F         ,55129.92
M           ,44388
F         ,50868
F         ,49200
M           ,44388
F         ,43800
M           ,54000
F         ,42000
F         ,44400
F         ,42000
M           ,44400
M           ,115500
M           ,42000
M           ,70800
M           ,42000
F         ,42000
M           ,54000
M           ,55200
F         ,48500.04
F         ,42000
F         ,53424
M           ,42000
M           ,42000
F         ,54996
F         ,98352
F         ,42000
M           ,44400
F         ,75000
M           ,53424
F         ,62730
F         ,81600
F         ,52800
F         ,42000
M           ,66720
F         ,43800
F         ,44400
M           ,46800
M           ,44388
F         ,42000
M           ,44700
M           ,42000
M           ,128400
M           ,77400
M           ,55440
F         ,69960
F         ,42000
M           ,43800
M           ,58800
F         ,63600
M           ,46800
M           ,64062.48
F         ,42000
M           ,54000
M           ,42000
M           ,42000
F         ,57000
M           ,45600
M           ,52978.44
F         ,47400
F         ,42000
F         ,44400
M           ,42000
M           ,45600
M           ,44400
M           ,42000
F         ,42000
F         ,42000
M           ,42000
F         ,50400
M           ,45600
M           ,54000
F         ,42000
F         ,53424
F         ,42000
M           ,44388
M           ,44400
F         ,42000
M           ,57000
M           ,42000
F         ,50400
M           ,46800
M           ,49200
F         ,70608
F         ,44400
M           ,42000
M           ,42000
M           ,44400
F         ,42000
F         ,48000
M           ,44400
M           ,42000
M           ,45600
M           ,42000
F         ,44400
M           ,43800
M           ,49200
F         ,44000.04
M           ,55440
F         ,44400
F         ,42000
M           ,44400
M           ,44400
M           ,42000
M           ,43800
F         ,43800
M           ,46800
F         ,45600
M           ,45600
M           ,54996
F         ,36000
F         ,46800
M           ,43200
M           ,42000
M           ,100002
M           ,62040
F         ,44400
M           ,72000
M           ,44280
M           ,44400
M           ,42000
F         ,33600
F         ,42000
F         ,61200
M           ,52800
F         ,45000
F         ,33600
M           ,54000
M           ,53424
M           ,42000
F         ,56856
M           ,52800
F         ,44400
F         ,42000
F         ,61788
M           ,46800
M           ,72000
M           ,72000
M           ,42000
F         ,52800
M           ,42000
M           ,61788
F         ,91200
M           ,77040
F         ,42000
M           ,42000
M           ,42000
F         ,50400
F         ,42000
F         ,45600
F         ,43800
M           ,44400
M           ,46800
M           ,44280
F         ,54996
F         ,49356
M           ,77400
M           ,44280
F         ,50400
F         ,52200
F         ,55128
M           ,42000
F         ,49200
M           ,57000
F         ,42000
M           ,84000
F         ,54996
M           ,69996
F         ,44400
F         ,52800
F         ,42000
F         ,47400
M           ,57000
M           ,42000
M           ,55836
F         ,54000
F         ,87504
F         ,38566.32
F         ,42000
M           ,84000
F         ,43800
M           ,42000
M           ,42000
F         ,52845.6
F         ,75600
M           ,42000
F         ,46800
M           ,42000
M           ,45600
F         ,56400
F         ,64008
M           ,45600
M           ,53424
F         ,51600
M           ,47400
F         ,44400
F         ,33600
M           ,43200
M           ,43800
F         ,53424
M           ,60000
M           ,46800
F         ,61200
F         ,62400
F         ,49200
M           ,43800
F         ,42000
F         ,103416
M           ,54996
F         ,45000
M           ,50400
M           ,44400
M           ,48000
F         ,53424
M           ,42000
F         ,55440
M           ,42000
M           ,121524
M           ,44400
M           ,151122.96
M           ,57000
M           ,46800
M           ,45600
M           ,46800
M           ,42000
F         ,50004
F         ,60000
F         ,42000
F         ,42000
M           ,43800
F         ,36480
F         ,55200
F         ,52800
F         ,46800
F         ,43800
M           ,44400
F         ,54000
F         ,33600
M           ,54000
M           ,42000
M           ,55200
M           ,44400
M           ,57588
M           ,77400
F         ,42000
M           ,45600
F         ,66000
F         ,42000
F         ,50988
F         ,44400
M           ,36480
